"mes_referencia","despesa","valor"
2012-01-01,"CEB",38.36
2012-01-01,"CAESB",272
2012-01-01,"Diarista",70
2012-01-01,"Materiais de limpeza",15
2012-01-01,"Reserva de caixa",310.36
2012-02-01,"CEB",37.75
2012-02-01,"CAESB",272
2012-02-01,"Diarista",70
2012-02-01,"Materiais de limpeza",15
2012-02-01,"Reserva de caixa",309.75
2012-02-01,"Compra de materiais",729.98
2012-03-01,"CEB",37.13
2012-03-01,"CAESB",272
2012-03-01,"Diarista",70
2012-03-01,"Materiais de limpeza",15
2012-03-01,"Reserva de caixa",309.13
2012-03-01,"Compra de materiais",85
2012-03-01,"Manutenção corretiva",200
2012-04-01,"CEB",37.03
2012-04-01,"CAESB",278.2
2012-04-01,"Diarista",70
2012-04-01,"Materiais de limpeza",15
2012-04-01,"Reserva de caixa",315.23
2012-04-01,"Manutenção preventiva",150
2012-05-01,"CEB",37.07
2012-05-01,"CAESB",301.28
2012-05-01,"Diarista",70
2012-05-01,"Materiais de limpeza",15
2012-05-01,"Reserva de caixa",338.35
2012-05-01,"Compra de materiais",70
2012-05-01,"Compra de materiais",70
2012-06-01,"CEB",37.03
2012-06-01,"CAESB",302.4
2012-06-01,"Diarista",70
2012-06-01,"Materiais de limpeza",15
2012-06-01,"Reserva de caixa",339.43
2012-06-01,"Compra de materiais",70
2012-07-01,"CEB",37.35
2012-07-01,"CAESB",302.4
2012-07-01,"Diarista",70
2012-07-01,"Materiais de limpeza",15
2012-07-01,"Reserva de caixa",339.75
2012-07-01,"Compra de materiais",70
2012-08-01,"CEB",36.95
2012-08-01,"CAESB",265.77
2012-08-01,"Diarista",70
2012-08-01,"Materiais de limpeza",15
2012-08-01,"Reserva de caixa",302.72
2012-08-01,"Compra de materiais",70
2012-08-01,"Manutenção corretiva",500
2012-09-01,"CEB",37
2012-09-01,"CAESB",307.71
2012-09-01,"Diarista",70
2012-09-01,"Materiais de limpeza",15
2012-09-01,"Reserva de caixa",344.71
2012-09-01,"Compra de materiais",70
2012-10-01,"CEB",37.75
2012-10-01,"CAESB",297.09
2012-10-01,"Diarista",70
2012-10-01,"Materiais de limpeza",15
2012-10-01,"Reserva de caixa",334.84
2012-10-01,"Manutenção corretiva",70
2012-10-01,"Compra de materiais",1200
2012-10-01,"Compra de materiais",975
2012-11-01,"CEB",38.12
2012-11-01,"CAESB",308.34
2012-11-01,"Diarista",70
2012-11-01,"Materiais de limpeza",15
2012-11-01,"Reserva de caixa",346.46
2012-11-01,"Compra de materiais",85
2012-11-01,"Compra de materiais",70
2012-12-01,"CEB",39.14
2012-12-01,"CAESB",302.4
2012-12-01,"Diarista",70
2012-12-01,"Materiais de limpeza",20
2012-12-01,"Reserva de caixa",341.54
2012-12-01,"Compra de materiais",70
2012-12-01,"Compra de materiais",109.17
2013-01-01,"CEB",38.14
2013-01-01,"CAESB",302.4
2013-01-01,"Diarista",70
2013-01-01,"Materiais de limpeza",20
2013-01-01,"Reserva de caixa",340.54
2013-02-01,"CEB",38.13
2013-02-01,"CAESB",302.4
2013-02-01,"Diarista",70
2013-02-01,"Materiais de limpeza",20
2013-02-01,"Reserva de caixa",340.53
2013-03-01,"CEB",30.17
2013-03-01,"CAESB",302.4
2013-03-01,"Diarista",70
2013-03-01,"Materiais de limpeza",20
2013-03-01,"Reserva de caixa",332.57
2013-04-01,"CEB",31.08
2013-04-01,"CAESB",318.4
2013-04-01,"Diarista",70
2013-04-01,"Materiais de limpeza",30
2013-04-01,"Reserva de caixa",349.48
2013-05-01,"CEB",28.6
2013-05-01,"CAESB",331.2
2013-05-01,"Diarista",70
2013-05-01,"Materiais de limpeza",30
2013-05-01,"Reserva de caixa",215.88
2013-06-01,"CEB",31.44
2013-06-01,"CAESB",334.38
2013-06-01,"Diarista",70
2013-06-01,"Materiais de limpeza",30
2013-06-01,"Reserva de caixa",219.492
2013-07-01,"CEB",28.82
2013-07-01,"CAESB",331.2
2013-07-01,"Diarista",70
2013-07-01,"Materiais de limpeza",30
2013-07-01,"Reserva de caixa",216.01
2013-08-01,"CEB",31.49
2013-08-01,"CAESB",311.16
2013-08-01,"Diarista",70
2013-08-01,"Materiais de limpeza",30
2013-08-01,"Reserva de caixa",205.59
2013-09-01,"CEB",31.15
2013-09-01,"CAESB",331.2
2013-09-01,"Diarista",70
2013-09-01,"Materiais de limpeza",30
2013-09-01,"Reserva de caixa",217.41
2013-10-01,"CEB",32.89
2013-10-01,"CAESB",331.2
2013-10-01,"Diarista",70
2013-10-01,"Materiais de limpeza",30
2013-10-01,"Reserva de caixa",218.45
2013-11-01,"CEB",32.81
2013-11-01,"CAESB",331.2
2013-11-01,"Diarista",70
2013-11-01,"Materiais de limpeza",30
2013-11-01,"Reserva de caixa",218.41
2013-11-01,"Manutenção corretiva",450
2013-12-01,"CEB",35.12
2013-12-01,"CAESB",331.2
2013-12-01,"Diarista",70
